A04	Centre Municipal
IDL	Indianola Municipal
IDP	Independence Municipal
IEM	Whittier
IEN	Pine Ridge
IER	Natchitoches Municipal
IFA	Iowa Falls Municipal
IFP	Laughlin/Bullhead International
IGG	Igiugig
IGM	Kingman
IGQ	Lansing Municipal
IGT	Nightmute
IIB	Independence Municipal
IIK	Kipnuk
IIY	Washington-Wilkes County
IJD	Windham
IJX	Jacksonville Municipal
IKK	Greater Kankakee
IKV	Ankeny Regional
ILE	Killeen Municipal
ILG	New Castle County
ILI	Iliamna
ILM	Wilmington International
IML	Imperial Municipal
IMM	Immokalee
IMS	Madison Municipal
IMT	Ford
IND	Indianapolis International
INK	Winkler County
INL	Falls International
INT	Smith Reynolds
INW	Winslow-Lindbergh Regional
IOB	Mt Sterling-Montgomery County
IOW	Iowa City Municipal
IPJ	Lincoln County
IPL	Imperial County
IPT	Williamsport-Lycoming Cty
IRK	Kirksville Regional
IRS	Kirsch Municipal
ISM	Kissimmee Municipal
ISN	Sloulin Field International
ISO	Kinston Regional Jetport At Stallin
ISP	Long Island - MacArthur
ISQ	Schoolcraft County
ISW	Alexander
ISZ	Cincinnati-Blue Ash
ITH	Tompkins Cty
ITO	Hilo International
ITR	Kit Carson County
IWA	Williams Gateway
IWD	Gogebic County
IWH	Wabash Municipal
IWI	Wiscasset
IWK	Wales
IWS	West Houston
IXD	New Century Aircenter
IYK	Inyokern
IYS	Wasilla
IZA	Santa Ynez
IZG	Eastern Slopes Regional
JAC	Jackson Hole
JAN	Jackson International
JAS	Jasper County -Bell
JAU	Campbell County
JAX	Jacksonville International
JBR	Jonesboro Municipal
JCT	Kimble County
JDN	Jordan
JEF	Jefferson City Memorial
JER	Jerome County
JES	Jesup-Wayne County
JFK	John F Kennedy Intl
JFX	Walker County
JHM	Kapalua
JHW	Chautauqua Cty
JKA	Jack Edwards
JKJ	Moorhead Municipal
JKL	Julian Carroll
JLN	Joplin Regional
JMR	Mora Municipal
JMS	Jamestown Municipal
JNU	Juneau International
JNX	Johnston County
JOT	Joliet Park District
JQF	Concord Regional
JRA	Port Authority-W 30th St Midtown Heliport
JRB	Downtown Manhattan/Wall St. Heliport
JRF	Kalaeloa (John Rodgers )
JSO	Jacksonville-Cherokee County
JST	Johnstown-Cambria Cty
JVL	Rock County
JVY	Clark County
JWG	Watonga
JWN	John C. Tune
JXN	Jackson County Reynolds
JYG	St James Municipal
JYL	Plantation Airpark
JYM	Hillsdale Municipal
JYO	Leesburg Executive
JYR	Municipal
JZI	Charleston Executive
JZP	Pickens County
JZZ	Koliganek
K01	Farington
K02	Perryville Municipal
K06	Greater Beardstown
K09	Piseco Muni
K15	Linn Creek-Grand Glaize Memorial
K20	Wendell H. Ford
K22	Big Sandy Regional
K24	Russell County
K29	Council
K33	Salem Memorial
K34	Municipal
K39	St Clair Memorial
K46	Blair Municipal
K54	Teller
K57	Gould Peterson Municipal
K59	Amelia Earhart
K61	Moritz Memorial
K62	Falmouth Pendleton County
K67	Oswego Municipal
K68	Garnett Municipal
K78	Abilene Municipal
K81	Miami County
K82	Smith Center Municipal
K83	Sabetha Municipal
K88	Allen County
K89	Macon-Fower Memorial
K96	Tuscola
KAE	Kake SPB
KAL	Kaltag
KCC	Coffman Cove SPB
KCL	Chignik Lagoon
KEB	English Bay
KEK	Ekwok
KFP	False Pass
KGX	Grayling
KIB	Ivanof Bay SPB
KIC	Mesa Del Rey
KKA	Koyuk
KKB	Kitoi Bay SPB
KLG	Kalskag
KLL	Levelock
KLS	Kelso-Longview
KNB	Kanab Muni
KNW	Stuyahok
KOA	Kona International At Keahole
KPB	Point Baker SPB
KPH	Pauloff Harbor SPB
KQA	Akutan SPB
KSM	St. Mary's
KTB	Thorne Bay
KTN	Ketchikan International
KTS	Brevig Mission
KVC	King Cove
KVL	Kivalina
KWT	Kwethluk
KXA	Kasaan SPB
KYK	Karluk
KYU	Koyukuk
L04	Holtville
L05	Kern Valley
L06	Furnace Creek
L08	Borrego Valley
L12	Redlands Municipal
L15	Henderson
L17	Taft-Kern County
L18	Fallbrook Community Airpark
L19	Wasco-Kern County
L26	Hesperia
L31	Greater St. Tammany Parish
L35	Big Bear City
L38	Louisiana Regional
L39	Leesville
L42	Allen Parish
L45	Bakersfield Municipal
L49	South Lafourche
L52	Oceano County
L67	Rialto Municipal
L70	Agua Dulce Airpark
L71	California City Municipal
L72	Trona
L75	Southland
L83	Thibodaux Municipal
L84	Lost Hills-Kern County
L92	Alamo Landing
LAA	Lamar Muni
LAF	Purdue University
LAL	Lakeland Linder Regional
LAM	Los Alamos
LAN	Capital City
LAR	Laramie Regional
LAS	McCarran International
LAW	Lawton-Ft Sill Regional
LAX	Los Angeles International
LBB	Lubbock International
LBE	Arnold Palmer Regional
LBF	North Platte Regional
LBL	Liberal Municipal
LBO	Floyd W Jones Lebanon
LBT	Lumberton Municipal
LBX	Brazoria County
LCG	Wayne Municipal
LCH	Lake Charles Regional
LCI	Laconia Municipal
LCK	Rickenbacker International
LCQ	Lake City Municipal
LDJ	Linden
LDM	Mason County
LEB	Lebanon Municipal
LEE	Leesburg Regional
LEM	Lemmon Municipal
LEW	Auburn-Lewiston Municipal
LEX	Blue Grass
LFK	Lufkin-Angelina County
LFT	Lafayette Regional
LGA	LaGuardia
LGB	Long Beach (Daugherty )
LGC	LaGrange-Callaway
LGD	La Grande/Union County
LGU	Logan-Cache
LHD	Lake Hood SPB
LHM	Lincoln Regional
LHQ	Fairfield County
LHV	Wm T Piper Memorial
LHX	La Junta Muni
LHZ	Franklin County
LIC	Limon Municipal
LIH	Lihue
LIT	Adams
LJF	Litchfield Municipal
LKP	Lake Placid
LKR	Lancaster County
LKU	Louisa County / Freeman
LKV	Lake County
LLJ	Challis
LLQ	Monticello Municipal
LLU	Lamar Municipal
LMS	Louisville-Winston County
LMT	Klamath Falls International
LNA	Palm Beach County Park
LNC	Lancaster
LND	Hunt
LNK	Lincoln Municipal
LNL	Kings Land O' Lakes
LNN	Lost Nation
LNP	Lonesome Pine
LNS	Lancaster
LNY	Lanai
LOL	Derby
LOT	Lewis University
LOU	Bowman
LOZ	London-Corbin  Magee
LPC	Lompoc
LPR	Lorain Co Regional
LQK	Pickens County
LQR	Larned-Pawnee County
LRD	Laredo International
LRG	Lincoln Regional
LRJ	Le Mars Municipal
LRU	Las Cruces International
LSB	Lordsburg Municipal
LSE	La Crosse Municipal
LSK	Lusk Muni
LSN	Los Banos Municipal
LUG	Ellington
LUK	Cincinnati Muni-Lunken
LUL	Hesler-Noble
LUP	Kalaupapa
LVJ	Clover
LVK	Livermore Municipal
LVM	Mission
LVN	Airlake
LVS	Las Vegas Municipal
LWB	Greenbrier Valley
LWC	Lawrence Municipal
LWD	Lamoni Municipal
LWL	Wells Municipal/Harriet
LWM	Lawrence Municipal
LWS	Lewiston-Nez Perce County
LWT	Lewistown Muni
LWV	Lawrenceville-Vincennes Municipal
LXL	Little Falls - Morrison County
LXN	Lexington (Jim Kelly )
LXT	Lee's Summit Municipal
LXV	Lake County
LXY	Mexia-Limestone County
LYH	Lynchburg Municipal-Preston Glenn
LYO	Lyons-Rice County Municipal
LZU	Gwinnett County
M01	General Dewitt Spain
M02	Dickson Municipal
M03	Dennis F Cantrell
M04	Covington Municipal
M05	Caruthersville Memorial
M08	William L. Whitehurst
M09	Piedmont Municipal
M11	Copiah County
M13	Poplarville-Pearl River County
M15	Perry County
M16	John Bell Williams
M17	Bolivar Municipal
M18	Hope Municipal
M19	Newport Municipal
M21	Muhlenberg County
M22	Russellville Municipal
M23	James H. Easom
M24	Dean Griffin Memorial
M25	Mayfield-Graves County
M27	Waldron Municipal
M29	Hassel
M30	Metropolis Municipal
M32	Lake Village Municipal
M33	Sumner County Regional
M34	Kentucky Dam State Park
M36	Frank Federer Memorial
M37	Ruleville-Drew
M39	Mena Intermountain Municipal
M40	Monroe County
M41	Holly Springs-Marshall County
M43	Prentiss-Jefferson Davis County
M44	Houston Municipal
M46	Colstrip
M48	Houston Memorial
M52	Franklin-Wilkins
M53	Humboldt Municipal
M54	Lebanon Municipal
M58	Monett Municipal
M59	Richton-Perry County
M60	Woodruff County
M65	Wynne Municipal
M70	Pocahontas Municipal
M72	New Albany-Union County
M73	Almyra Municipal
M75	Malta
M76	Picayune Municipal
M77	Howard County
M78	Malvern Municipal
M79	John H Hooks Jr Memorial
M82	Madison County Executive
M83	McCharen
M89	Dexter B. Florence Memorial
M91	Springfield-Robertson County
M95	Richard Arthur
M97	Tunica Municipal
M99	Saline County/Watts
MAC	Herbert Smart Downtown
MAE	Madera Municipal
MAF	Midland International
MAI	Marianna Municipal
MAL	Malone-Dufort
MAO	Marion County
MAW	Malden Municipal
MAZ	Eugenio Maria De Hostos
MBG	Mobridge Municipal
MBL	Manistee County Blacker
MBO	Bruce Campbell
MBS	Mbs International
MBT	Murfreesboro Municipal
MBY	Omar N Bradley
MCB	McComb-Pike County
MCD	Mackinac Island
MCE	Merced Municipal/MacReady
MCG	McGrath
MCI	Kansas City International
MCK	McCook Municipal
MCN	Middle Georgia Regional
MCO	Orlando International
MCW	Mason City Municipal
MCX	White County
MCZ	Martin County
MDD	Midland Airpark
MDF	Mooreland Municipal
MDH	Southern Illinois
MDR	Medfra
MDS	Madison Municipal
MDT	Harrisburg Intl
MDW	Chicago Midway
MDZ	Taylor County
MEB	Laurinburg-Maxton
MEI	Key
MEJ	Meade Municipal
MEM	Memphis International
MER	Castle
MEV	Minden-Tahoe
MEY	Mapleton Municipal
MFD	Mansfield Lahm Municipal
MFE	McAllen Miller International
MFI	Marshfield Municipal
MFR	Rogue Valley International
MFV	Accomack County
MGC	Michigan City Municipal
MGJ	Orange Cty
MGM	Montgomery Regional Apt
MGR	Moultrie Municipal
MGW	Morgantown Muni-Walter L. Bill Hart Fld.
MGY	Dayton Wright Brothers
MHE	Mitchell Municipal
MHK	Manhattan Regional
MHL	Marshall Memorial Municipal
MHM	Minchumina
MHP	Metter Municipal
MHR	Sacramento Mather
MHT	Manchester
MHV	Mojave
MIA	Miami International
MIB	Minot AFB
MIC	Crystal
MIE	Delaware County
MIO	Miami Municipal
MIT	Shafter-Minter
MIV	Millville Muni
MIW	Marshalltown Municipal
MJQ	Jackson Municipal
MJX	Robert J. Miller Airpark
MKA	Miller Municipal
MKC	Downtown
MKE	General Mitchell International
MKG	Muskegon County
MKJ	Mountain Empire
MKK	Molokai
MKL	McKellar-Sipes Regional
MKO	Davis
MKT	Mankato Regional
MKV	Marksville Municipal
MKY	Marco Island
MLB	Melbourne International
MLC	McAlester Regional
MLE	Millard
MLF	Milford Municipal
MLI	Quad City
MLJ	Baldwin County
MLL	Marshall
MLS	Frank Wiley
MLT	Millinocket Municipal
MLU	Monroe Regional
MLY	Manley Hot Springs
MMH	Mammoth Yosemite
MMI	McMinn County
MMK	Meriden-Markham Municipal
MML	Marshall Muni - Ryan
MMU	Morristown Municipal
MMV	McMinnville Muni
MNF	Mountain View
MNI	Clarendon County
MNM	Menominee-Marinette Twin County
MNN	Marion Municipal
MNV	Monroe County
MNZ	Hamilton Municipal
MO6	Washington Memorial
MOB	Mobile Regional
MOD	Modesto City-County-Harry Sham
MOP	Mount Pleasant Municipal
MOR	Moore-Murrell
MOT	Minot International
MOU	Mountain Village
MOX	Morris Municipal
MPE	Philadelphia Municipal
MPJ	Petit Jean Park
MPO	Pocono Mountains Muni
MPR	McPherson
MPV	Edward F Knapp State
MPZ	Mount Pleasant Municipal
MQB	Macomb Municipal
MQI	Dare County Regional
MQJ	Mount Comfort
MQT	Marquette County Airport
MQW	Telfair-Wheeler
MQY	Smyrna
MRB	Eastern Wv Reg/Shephard
MRC	Maury County
MRF	Marfa Municipal
MRH	Michael J. Smith
MRI	Merrill
MRJ	Iowa County
MRN	Morganton-Lenoir
MRY	Monterey Peninsula
MSA	Mount Pleasant Municipal
MSL	Northwest Alabama Regional
MSN	Dane County Regional
MSO	Missoula International
MSP	Minneapolis-St Paul Intl
MSS	Massena Int'l-Richards
MSV	Sullivan Cty Intl
MSY	New Orleans International
MTH	Florida Keys Marathon
MTJ	Montrose Regional
MTM	Metlakatla SPB
MTN	Martin State
MTO	Coles County Memorial
MTP	Montauk
MTV	Blue Ridge
MTW	Manitowoc County
MUE	Waimea-Kohala
MUT	Muscatine Municipal
MVC	Monroe County
MVE	Montevideo-Chippewa County
MVI	Monte Vista Muni
MVL	Morrisville-Stowe State
MVM	Machias Valley
MVN	Mt Vernon-Outland
MVY	Marthas Vineyard
MWA	Williamson County
MWC	Lawrence J Timmerman
MWH	Grant County
MWK	Mount Airy-Surry County
MWL	Mineral Wells Municipal
MWM	Windom Municipal
MWO	Hook Field Municipal
MXA	Manila Municipal
MXO	Monticello Municipal
MYF	Montgomery
MYK	May Creek
MYL	McCall
MYR	Myrtle Beach International
MYU	Mekoryuk
MYV	Yuba County
MYZ	Marysville Municipal
MZJ	Pinal Airpark
MZZ	Marion Municipal
N00	Maben
N03	Cortland Cty-Chase
N04	Griswold
N07	Lincoln Park
N10	Perkiomen Valley
N12	Lakewood
N13	Bloomsburg Muni
N14	Flying W
N23	Sidney Muni
N24	Questa Municipal Nr 2
N25	Westport
N27	Bradford County
N29	Magdalena
N30	Cherry Ridge
N35	Punxsutawney Muni
N37	Monticello
N38	Grand Canyon State
N40	Sky Manor
N47	Pottstown Muni
N51	Solberg-Hunterdon
N53	Stroudsburg-Pocono
N57	New Garden Flying
N66	Oneonta Muni
N67	Wings
N68	Chambersburg Muni
N69	Stormville
N72	Warwick Muni
N73	Red Lion
N79	Northumberland Cty
N81	Hammonton Muni
N82	Wurtsboro-Sullivan Cty
N85	Alexandria
N87	Trenton-Robbinsville
N89	Joseph Y. Resnick
N93	New Golovin
N99	Brandywine
NEW	Lakefront
NQA	Millington Municipal
NRN	Norton Municipal
NUL	Nulato
NVD	Nevada Municipal
NY0	Fulton Cty
O02	Nervino
O05	Rogers
O08	Colusa County
O09	Round Valley
O11	Cherokee Nation
O15	Turlock Municipal
O16	Garberville
O17	Nevada County  Air Park
O19	Kneeland
O21	Hoopa
O22	Columbia
O24	Lee Vining
O26	Lone Pine
O27	Oakdale
O28	Ells Field-Willits Municipal
O31	Healdsburg Municipal
O32	Reedley Municipal
O35	Hollis Municipal
O37	Haigh
O41	Watts-Woodland
O42	Woodlake
O43	Yerington Municipal
O45	Hooker Municipal
O46	Weed
O47	Prague Municipal
O48	Little River
O52	Sutter County
O53	Medford Municipal
O54	Lonnie Pool /Weaverville
O57	Bryant
O59	Cedarville
O60	Cloverdale Municipal
O61	Cameron Airpark
O65	Okeene Municipal
O68	Mariposa-Yosemite
O69	Petaluma Municipal
O70	Westover Field Amador County
O81	Tulelake Municipal
O85	Benton
O86	Trinity Center
O88	Rio Vista Municipal
O89	Fall River Mills
OAJ	Albert J Ellis
OAK	Metropolitan Oakland International
OAR	Marina Municipal
OBE	Okeechobee County
OBU	Kobuk
OCF	Ocala Regional/Jim Taylor
OCH	Nacogdoches-A.L. Mangham Jr. Regional
OCQ	Oconto Municipal
OCW	Warren
ODO	Odessa-Schlemeyer
ODX	Evelyn Sharp
OEB	Branch County Memorial
OEL	Oakley Municipal
OEO	L. O. Simenstad Municipal
OFK	Karl Stefan Memorial
OFP	Hanover County Municipal
OGA	Searle
OGB	Orangeburg Municipal
OGD	Ogden-Hinckley
OGG	Kahului
OGM	Ontonagon County
OGS	Ogdensburg Intl
OIC	Lt Warren Eaton
OIN	Oberlin Municipal
OJC	Johnson County Executive
OKB	Oceanside Municipal
OKC	Will Rogers World
OKK	Kokomo Municipal
OKM	Okmulgee Municipal
OKS	Garden County
OKV	Winchester Regional
OKZ	Kaolin
OLD	Dewitt Field-Old Town Municipal
OLE	Olean Muni
OLF	L M Clayton
OLM	Olympia
OLS	Nogales International
OLU	Columbus Municipal
OLV	Olive Branch
OLY	Olney-Noble
OLZ	Oelwein Municipal
OMA	Eppley Airfield
OME	Nome
OMH	Orange County
OMK	Omak
OMN	Ormond Beach Municipal
ONA	Winona Muni-Max Conrad
ONL	O Neill Municipal
ONM	Socorro Municipal
ONO	Ontario Muni
ONP	Newport Muni
ONT	Ontario International
ONY	Olney Municipal
ONZ	Grosse Ile Municipal
OOA	Oskaloosa Municipal
OOH	Hoonah SPB
OOK	Toksook Bay
OPF	Opa-Locka
OPL	St Landry Parish - Ahart
OPN	Thomaston-Upton County
OQU	Quonset State
OQW	Maquoketa Municipal
ORB	Orr Regional
ORC	Orange City Municipal
ORD	Chicago O'Hare International
ORE	Orange Municipal
ORF	Norfolk International
ORG	Orange County
ORH	Worcester Regional
ORI	Port Lions
ORL	Executive
ORS	Orcas Island
ORT	Northway
ORV	Robert(Bob) Curtis Memorial
OSC	Oscoda - Wurtsmith
OSH	Wittman Regional
OSU	Ohio State University
OSX	Kosciusko-Attala County
OTG	Worthington Municipal
OTH	North Bend Muni
OTM	Ottumwa Industrial
OTZ	Ralph Wien Memorial
OUN	University of Oklahoma Westheimer
OVE	Oroville Municipal
OVO	North Vernon
OVS	Boscobel
OWA	Owatonna Degner Regional
OWB	Owensboro-Daviess County
OWD	Norwood Memorial
OWI	Ottawa Municipal
OWK	Central Maine
OWX	Putnam County
OXB	Ocean City
OXC	Waterbury-Oxford
OXD	Miami University
OXI	Starke County
OXR	Oxnard
OXV	Knoxville Municipal
OYM	St Marys Muni
OZA	Ozona Municipal
OZW	Livingston County
P01	Ajo Municipal
P04	Bisbee Municipal
P08	Coolidge Municipal
P13	San Carlos Apache
P14	Holbrook Municipal
P20	Avi Suquilla
P32	H.A. Clark Memorial
P33	Cochise County
P45	Mount Pleasant-Scottdale
P52	Cottonwood
P53	Rostraver
PAE	Snohomish County
PAH	Barkley Regional
PAK	Port Allen
PAN	Payson
PAO	Palo Alto Arpt of Santa Clara Co
PAQ	Palmer Municipal
PBF	Grider
PBH	Price County
PBI	Palm Beach International
PBV	St. George
PCK	Porcupine Creek
PCM	Plant City Municipal
PCW	Carl R. Keller
PCZ	Waupaca Municipal
PDC	Prairie Du Chien Municipal
PDK	Dekalb-Peachtree
PDT	Eastern Oregon Regional At Pendleton
PDX	Portland Intl
PEA	Pella Municipal
PEC	Pelican SPB
PEO	Penn Yan
PEQ	Pecos Municipal
PEZ	Pleasanton Municipal
PFN	Panama City-Bay County International
PGA	Page Municipal
PGD	Charlotte County
PGM	Port Graham
PGR	Kirk
PGV	Pitt-Greenville
PHD	Harry Clever
PHF	Newport News/Williamsburg International
PHG	Phillipsburg Municipal
PHH	Andrews Municipal
PHK	Palm Beach County Glades
PHL	Philadelphia Intl
PHN	St Clair County International
PHO	Point Hope
PHP	Philip
PHT	Henry County
PHX	Phoenix Sky Harbor International
PIA	Greater Peoria Regional
PIB	Hattiesburg-Laurel Regional
PIE	St. Petersburg-Clearwater International
PIH	Pocatello Regional
PIL	Port Isabel-Cameron County
PIM	Callaway Gardens-Harris County
PIR	Pierre Regional
PIT	Pittsburgh International
PIZ	Point Lay Dew Station
PJY	Pinckneyville-Duquoin
PKA	Napaskiak
PKB	Wood Cty/Gill Robb Wilson
PKD	Park Rapids Municipal
PKF	Park Falls Municipal
PLB	Clinton Cty
PLD	Portland Municipal
PLN	Pellston Regional  of Emmet County
PLR	St Clair County
PMB	Pembina Municipal
PMD	Palmdale Production Flight
PMH	Greater Portsmouth Regional
PMP	Pompano Beach Airpark
PMV	Plattsmouth Municipal
PMX	Metropolitan
PMZ	Plymouth Municipal
PNA	Ralph Wenz
PNC	Ponca City Municipal
PNE	Northeast Philadelphia
PNM	Princeton Municipal
PNN	Princeton Municipal
PNP	Pilot Point
PNS	Pensacola Regional
POC	Brackett
POF	Poplar Bluff Municipal
POH	Pocahontas Municipal
POU	Dutchess Cty
POY	Powell Muni
PPA	Perry Lefors
PPC	Prospect Creek
PPF	Tri City
PPG	Pago Pago International
PPO	La Porte Municipal
PPQ	Pittsfield Penstone Municipal
PQI	Northern Maine Regional
PQL	Trent Lott International
PQN	Pipestone Municipal
PRB	Paso Robles Municipal
PRC	Ernest A. Love
PRG	Edgar County
PRN	Greenville Municipal
PRO	Perry Municipal
PRX	Cox
PSB	Mid-State
PSC	Tri-Cities
PSE	Mercedita
PSF	Pittsfield Municipal
PSG	James C. Johnson Petersburg
PSK	New River Valley
PSM	Pease International Tradeport
PSN	Palestine Municipal
PSP	Palm Springs International
PSX	Palacios Municipal
PTB	Dinwiddie County
PTD	Potsdam Muni-Damon
PTH	Port Heiden
PTK	Oakland-Pontiac
PTN	Harry P. Williams Memorial
PTS	Atkinson Municipal
PTT	Pratt Industrial
PTU	Platinum
PTV	Porterville Municipal
PTW	Pottstown Limerick
PUB	Pueblo Memorial
PUC	Carbon County
PUW	Pullman/Moscow Regional
PVB	Platteville Municipal
PVC	Provincetown Municipal
PVD	Theodore F Green State
PVF	Placerville
PVG	Hampton Roads Executive
PVJ	Pauls Valley Municipal
PVU	Provo Muni
PVW	Hale County
PWA	Wiley Post
PWC	Pine River Regional
PWD	Sher-Wood
PWG	McGregor Exectuive
PWK	Palwaukee
PWM	Portland International Jetport
PWT	Bremerton National
PXE	Perry-Houston Couty
PYG	Pageland
PYM	Plymouth Municipal
PYX	Perryton Ochiltree County
PZQ	Presque Isle County
Q00	Littlefield Municipal
Q06	City of Tulia/Swisher County Municipal
Q14	San Juan Pueblo
Q16	Reserve
Q17	Boonville
Q21	Brownsville
Q24	Levelland Municipal
Q25	Dinsmore
Q26	Terry County
Q31	Sequoia
Q34	Portales Municipal
Q35	Springerville Babbitt
Q37	Carrizozo Municipal
Q41	Floydada Municipal
Q42	Springer Municipal
Q44	Beaver Municipal
Q49	Firebaugh
Q53	Franklin
Q55	Dimmitt Municipal
Q58	Santa Rosa Municipal
Q61	Georgetown
Q68	Pine Mountain Lake
Q72	Hayfork
Q84	Mendota
Q88	Paradise Skypark
Q94	Rio Linda
Q95	Ruth
Q99	South County  of Santa Clara Co
RAC	John H Batten
RAL	Riverside Municipal
RAP	Rapid City Regional
RBD	Redbird
RBE	Bassett Municipal
RBG	Roseburg Regional
RBL	Red Bluff Municipal
RBW	Walterboro Municipal
RBY	Ruby
RCA	Ellsworth AFB
RCR	Fulton County
RCX	Rusk County
RDD	Redding Municipal
RDG	Reading Muni,Gen Carl A Spaatz
RDK	Red Oak Municipal
RDM	Roberts
RDR	Grand Forks AFB
RDU	Raleigh-Durham International
RDV	Red Devil
RED	Red Lodge
RFD	Greater Rockford
RFG	Refugio-Rooke
RGK	Red Wing Municipal
RHI	Rhinelander-Oneida County
RHV	Reid-Hillview of Santa Clara Co
RIC	Richmond International
RID	Richmond Municipal
RIF	Richfield Muni
RIL	Garfield County Regional
RIU	Rancho Murieta
RIV	March
RIW	Riverton Regional
RKD	Knox County Regional
RKP	Aransas County
RKR	Robert S Kerr
RKS	Rock Springs-Sweetwater County
RKW	Rockwood Municipal
RLD	Richland
RME	Griffis Airpark
RMG	Richard B Russell
RMP	Rampart
RMY	Brooks
RNC	Warren County Memorial
RNH	New Richmond Municipal
RNM	Ramona
RNO	Reno/Tahoe International
RNT	Renton Municipal
RNV	Cleveland Municipal
ROA	Roanoke Regional/ Woodrum
ROC	Greater Rochester Int'l
ROG	Rogers Municipal-Carter
ROS	Rush City Regional
ROW	Roswell Industrial Air Center
ROX	Roseau Municipal
RPB	Belleville Municipal
RPD	Rice Lake Regional-Carl's
RPX	Roundup
RQB	Roben-Hood
RQE	Window Rock
RRL	Merrill Municipal
RRT	Warroad Intl Swede Carlson
RSH	Russian Mission
RSL	Russell Municipal
RSN	Ruston Regional
RST	Rochester International
RSV	Robinson Municipal
RSW	Southwest Florida International
RTN	Raton Municipal/Crews
RUE	Russellville Municipal
RUG	Rugby Municipal
RUQ	Rowan County
RUT	Rutland State
RVJ	Reidsville
RVL	Mifflin Cty
RVN	Hawkins County
RVS	Richard Lloyd Jones, Jr.
RWF	Redwood Falls Muni
RWI	Rocky Mount Wilson
RWL	Rawlins Muni
RWN	Arens
RXE	Rexburg-Madison County
RYN	Ryan
RYV	Watertown Municipal
RYY	Cobb County-McCollum
RZL	Jasper County
RZN	Burnett County
RZT	Ross County
RZZ	Halifax County
S01	Conrad
S03	Ashland Muni-Sumner Parker
S05	Bandon State
S07	Bend Muni
S10	Chelan Muni
S12	Albany Municipal
S18	Forks
S21	Sunriver
S23	Ione Municipal
S24	Sandusky Co
S25	Watford City Municipal
S27	Kalispell City
S28	International Peace Garden
S30	Lebanon State
S31	Lopez Island
S32	Cooperstown Municipal
S33	City-County
S34	Plains
S39	Prineville
S40	Prosser
S43	Harvey
S45	Siletz Bay State
S47	Tillamook
S50	Auburn Municipal
S52	Methow Valley State
S59	Libby
S60	Kenmore Air Harbor Inc
S64	Stanford
S66	Homedale Municipal
S67	Nampa Muni
S68	Orofino Municipal
S69	Lincoln
S70	Othello Muni
S71	Edgar G Obie
S72	St Maries Municipal
S73	Kamiah Municipal
S80	Idaho County
S83	Shoshone County
S85	Big Sky
S87	Weiser Municipal
S89	Craigmont Municipal
S93	Cle Elum Municipal
S94	Whitman County Memorial
S97	Anderson
SAA	Shively
SAC	Sacramento Executive
SAD	Safford Regional
SAF	Santa Fe Municipal
SAN	San Diego International-Lindbergh
SAR	Sparta Community-Hunter
SAT	San Antonio International
SAV	Savannah International
SAW	Sawyer
SAZ	Staples Municipal
SBA	Santa Barbara Municipal
SBD	San Bernardino International
SBM	Sheboygan County Memorial
SBN	South Bend Regional
SBO	Emanuel County
SBP	San Luis Obispo Co-McChesney
SBS	Steamboat Springs
SBU	Blue Earth Municipal
SBX	Shelby
SBY	Salisbury-Ocean City: Wicomico Regional
SCB	Scribner State
SCC	Deadhorse
SCD	Merkel Field Sylacauga Municipal
SCE	University Park
SCH	Schenectady Cty
SCK	Stockton Metro
SCM	Scammon Bay
SCX	Scott Municipal
SDA	Shenandoah Municipal
SDF	Louisville International-Standiford
SDL	Scottsdale
SDM	Brown  Municipal
SDP	Sand Point Municipal
SDY	Sidney-Richland Municipal
SEA	Seattle-Tacoma Intl
SEE	Gillespie
SEF	Sebring  And Industrial Park
SEG	Penn Valley
SEM	Craig
SEP	Clark Field Municipal
SER	Freeman Municipal
SET	St Charles County Smart
SEZ	Sedona
SFB	Orlando Sanford
SFD	Bob Wiley
SFF	Felts
SFM	Sanford Regional
SFO	San Francisco International
SFQ	Suffolk Municipal
SFY	Tri-Township
SFZ	North Central State
SGF	Springfield-Branson Regional
SGH	Springfield-Beckley Municipal
SGJ	St. Augustine
SGR	Sugar Land Municipal/Hull
SGS	South St.Paul Municipal
SGT	Stuttgart Municipal
SGU	St George Muni
SGY	Skagway
SHD	Shenandoah Valley Regional
SHG	Shungnak
SHH	Shishmaref
SHL	Sheldon Municipal
SHN	Sanderson
SHR	Sheridan County
SHV	Shreveport Regional
SHX	Shageluk
SIG	Fernando Luis Ribas Dominicci
SIK	Sikeston Memorial Municipal
SIT	Sitka
SIV	Sullivan County
SIY	Siskiyou County
SJC	San Jose International
SJN	St Johns Industrial Air Park
SJT	San Angelo Regional /Mathis
SJU	Luis Munoz Marin International
SJX	Beaver Island
SKA	Fairchild AFB
SKI	Sac City Municipal
SKW	Skwentna
SKX	Taos Municipal
SLB	Storm Lake Municipal
SLC	Salt Lake City Intl
SLE	McNary Fld
SLG	Smith
SLK	Adirondack
SLN	Salina Municipal
SLO	Salem-Leckrone
SLQ	Sleetmute
SLR	Sulphur Springs Municipal
SMD	Smith
SME	Somerset-Pulaski County
SMF	Sacramento International
SMN	Lemhi County
SMO	Santa Monica Municipal
SMQ	Somerset
SMS	Sumter Municipal
SMX	Santa Maria Pub/Capt G Allan Hancock
SNA	John Wayne /Orange Co
SNH	Savannah Hardin County
SNK	Winston
SNL	Shawnee Municipal
SNP	St. Paul
SNS	Salinas Municipal
SNY	Sidney Municipal
